Date,Close,Open,High,Low,Order matchings,% Change
06-05-14,11581,11423,11686,11054,23.72K,-1.78%
07-05-14,11475,11423,11528,11265,25.21K,-0.92%
08-05-14,10370,11317,11317,10370,79.56K,-9.63%
09-05-14,10370,10107,10423,10107,38.25K,0.00%
12-05-14,9475,10370,10370,9370,43.72K,-8.63%
13-05-14,10265,9370,10317,9001,91.45K,8.34%
14-05-14,10002,10002,10002,9738,32.79K,-2.56%
15-05-14,10002,10002,10212,9844,121.47K,0.00%
16-05-14,9949,9580,9949,9580,9.84K,-0.53%
19-05-14,10107,9475,10265,9475,483.93K,1.59%
20-05-14,10002,10002,10054,9791,71.03K,-1.04%
21-05-14,10212,10265,10265,10002,193.38K,2.10%
22-05-14,10265,10002,10317,9896,217.49K,0.52%
23-05-14,10317,10212,10317,10212,20.01K,0.51%
26-05-14,10423,10265,10528,10107,113.02K,1.03%
27-05-14,10686,10423,10686,10423,85.45K,2.52%
28-05-14,10581,11054,11054,10528,31.05K,-0.98%
29-05-14,10581,10581,10686,10475,82.10K,0.00%
30-05-14,10686,10581,10738,10528,51.98K,0.99%
02-06-14,11317,11054,11686,11054,289.16K,5.90%
03-06-14,11317,11317,11581,11265,137.94K,0.00%
04-06-14,11160,11317,11317,11054,103.46K,-1.39%
05-06-14,11212,11160,11212,11054,61.85K,0.47%
06-06-14,11317,11212,11317,11054,71.93K,0.94%
09-06-14,11317,11581,11581,11212,52.18K,0.00%
10-06-14,11317,11581,11581,11212,105.82K,0.00%
11-06-14,11184,11306,11306,11001,29.21K,-1.18%
12-06-14,11245,11062,11490,11062,19.32K,0.55%
13-06-14,11551,11245,11612,11245,34.05K,2.72%
16-06-14,11367,11917,11917,11306,10.58K,-1.59%
17-06-14,11367,11245,11367,11184,11.04K,0.00%
18-06-14,11306,11673,11673,11306,37.62K,-0.54%
19-06-14,11123,11184,11184,11123,28.29K,-1.62%
20-06-14,11184,11367,11367,11184,9.09K,0.55%
23-06-14,11245,11062,11245,11062,2.88K,0.55%
24-06-14,11184,11245,11245,11184,5.36K,-0.54%
25-06-14,11367,11184,11367,11184,34.50K,1.64%
26-06-14,11367,11184,11367,11184,3.68K,0.00%
27-06-14,11306,11306,11306,11306,2.42K,-0.54%
30-06-14,11306,11367,11367,11306,4.53K,0.00%
01-07-14,11306,11306,11306,11184,19.60K,0.00%
02-07-14,11367,11184,11367,11184,21.11K,0.54%
03-07-14,11367,11367,11367,11306,38.18K,0.00%
04-07-14,11428,11367,11428,11367,55.00K,0.54%
07-07-14,11490,11551,11551,11490,14.95K,0.54%
08-07-14,11551,11367,11551,11367,1.93K,0.53%
09-07-14,11551,11428,11551,11428,19.72K,0.00%
10-07-14,11490,11490,11490,11245,14.26K,-0.53%
11-07-14,11428,11367,11428,11367,3.57K,-0.54%
14-07-14,11367,11245,11367,11245,8.86K,-0.53%
15-07-14,11367,11490,11490,11306,31.40K,0.00%
16-07-14,11734,11490,11856,11367,85.91K,3.23%
17-07-14,11673,11673,11673,11551,10.05K,-0.52%
18-07-14,11551,11612,11612,11551,17.37K,-1.05%
21-07-14,12223,11612,12467,11612,500.95K,5.82%
22-07-14,13017,12345,13017,12345,232.76K,6.50%
23-07-14,13017,13140,13140,12895,74.37K,0.00%
24-07-14,12834,12834,13078,12773,439.45K,-1.41%
25-07-14,12528,12834,13017,12528,181.01K,-2.38%
28-07-14,12406,12040,12528,11795,25.07K,-0.97%
29-07-14,12101,12223,12223,12040,53.89K,-2.46%
30-07-14,12101,12101,12101,11917,49.80K,0.00%
31-07-14,12101,11978,12406,11917,33.65K,0.00%
01-08-14,12040,11978,12162,11917,70.53K,-0.50%
04-08-14,12406,11978,12406,11978,30.82K,3.04%
05-08-14,13445,12223,13629,12223,519.50K,8.37%
06-08-14,13445,13751,13751,13323,225.09K,0.00%
07-08-14,14545,13445,14545,13445,372.73K,8.18%
08-08-14,14545,14545,14973,14117,203.21K,0.00%
11-08-14,13812,13445,14301,13445,57.84K,-5.04%
12-08-14,13873,14179,14179,13629,19.27K,0.44%
13-08-14,14117,14056,14545,13873,500.77K,1.76%
14-08-14,14056,14362,14912,14056,186.09K,-0.43%
15-08-14,13995,14056,14301,13934,41.87K,-0.43%
18-08-14,14484,13995,14790,13567,413.49K,3.49%
19-08-14,14851,14667,15156,14545,368.59K,2.53%
20-08-14,14423,14912,14912,14423,107.23K,-2.88%
21-08-14,14973,14545,15523,14545,985.21K,3.81%
22-08-14,14729,15279,15279,14729,341.93K,-1.63%
25-08-14,14729,14790,14912,14667,273.01K,0.00%
26-08-14,14362,14790,14790,14362,144.18K,-2.49%
27-08-14,14301,14301,14545,14179,140.26K,-0.42%
28-08-14,14301,14301,14545,14056,136.50K,0.00%
29-08-14,14117,14362,14362,14056,120.33K,-1.29%
03-09-14,14179,14179,14423,14117,191.22K,0.44%
04-09-14,14117,14117,14179,14056,60.51K,-0.44%
05-09-14,15523,14117,15523,14117,479.14K,9.96%
08-09-14,16990,15523,17051,15523,703.97K,9.45%
09-09-14,16256,17234,17295,16195,435.36K,-4.32%
10-09-14,16684,16195,16684,15462,435.91K,2.63%
11-09-14,17479,16684,18151,16501,834.79K,4.77%
12-09-14,17968,17479,18029,17479,303.31K,2.80%
15-09-14,17784,17968,18945,17784,392.46K,-1.02%
16-09-14,17601,17784,17784,16806,558.04K,-1.03%
17-09-14,16195,17418,18090,16195,332.64K,-7.99%
18-09-14,16073,16195,16929,16073,281.10K,-0.75%
19-09-14,16501,16073,16623,15890,122.82K,2.66%
22-09-14,16195,16745,16868,16195,142.72K,-1.85%
23-09-14,15584,16256,16256,15584,170.24K,-3.77%
24-09-14,15401,15584,15645,15279,146.74K,-1.17%
25-09-14,15890,15401,15890,14973,134.90K,3.18%
26-09-14,15584,16440,16501,15584,59.00K,-1.93%
29-09-14,15645,15279,16195,15156,78.95K,0.39%
30-09-14,15156,15645,15645,15034,106.95K,-3.13%
01-10-14,15706,15645,15768,15279,28.74K,3.63%
02-10-14,15523,15706,15706,15217,169.44K,-1.17%
03-10-14,15829,15523,16195,15401,205.24K,1.97%
06-10-14,16562,16501,16745,16012,245.76K,4.63%
07-10-14,17295,16562,17540,16562,384.38K,4.43%
08-10-14,16990,17173,17173,16501,72.15K,-1.76%
09-10-14,16684,17723,17723,16684,147.09K,-1.80%
10-10-14,16195,16256,16623,16195,89.82K,-2.93%
13-10-14,16134,16195,16256,16012,40.25K,-0.38%
14-10-14,15890,16318,16501,15890,82.92K,-1.51%
15-10-14,15706,15890,15890,15462,86.70K,-1.16%
16-10-14,15156,15401,15584,15156,219.94K,-3.50%
17-10-14,15584,15279,15584,14973,101.26K,2.82%
20-10-14,15462,15645,16195,15401,24.54K,-0.78%
21-10-14,15217,15401,15462,15217,53.71K,-1.58%
22-10-14,15584,15523,15768,15279,48.53K,2.41%
23-10-14,15584,15584,15890,15584,101.36K,0.00%
24-10-14,15768,15584,15890,15584,47.27K,1.18%
27-10-14,15156,15768,15768,15156,60.09K,-3.88%
28-10-14,16195,15156,16440,15156,306.02K,6.86%
29-10-14,17234,16440,17784,16440,304.59K,6.42%
30-10-14,16990,17112,17356,16806,181.45K,-1.42%
31-10-14,17051,16990,17173,16868,108.98K,0.36%
03-11-14,18457,17051,18457,17051,755.81K,8.25%
04-11-14,19007,18334,19312,18334,477.51K,2.98%
05-11-14,19740,19007,20168,18823,528.71K,3.86%
